business,pickup_location,dropoff_location,trip_length,request_to_pickup,total_ride_time,on_scene_to_pickup,on_scene_to_dropoff,time_of_day,date,passenger_fare,driver_total_pay,rideshare_profit,hourly_rate,dollars_per_mile
Uber,235,47,1.93,98.0,798.0,17.0,815.0,morning,1680220800,14.55,10.04,4.51,44.35,5.2
Uber,123,149,0.65,273.0,482.0,120.0,602.0,evening,1680134400,10.46,7.28,3.18,43.53,11.2
Uber,144,114,1.0,125.0,328.0,71.0,399.0,morning,1680220800,12.17,7.66,5.51,69.11,7.66
Uber,181,234,5.79,249.0,2410.0,3.0,2413.0,morning,1680220800,56.25,39.99,25.83,59.66,6.91
Uber,44,44,2.58,477.0,515.0,103.0,618.0,evening,1680220800,14.07,10.5,3.57,61.17,4.07
Uber,72,77,2.2,129.0,709.0,72.0,781.0,night,1680220800,15.56,10.4,5.16,47.94,4.73
Uber,136,248,3.71,117.0,1043.0,17.0,1060.0,evening,1680220800,20.39,19.92,3.47,67.65,5.37
Uber,88,165,7.57,186.0,3102.0,89.0,3191.0,afternoon,1680220800,73.79,53.35,20.44,60.19,7.05
Uber,95,95,0.56,204.0,148.0,13.0,161.0,night,1680220800,8.68,5.4,3.28,120.75,9.64
Uber,42,168,1.18,272.0,380.0,21.0,401.0,night,1680220800,10.03,6.71,3.32,60.24,5.69
Uber,87,87,0.57,257.0,247.0,54.0,301.0,night,1680220800,11.16,6.75,4.41,80.73,11.84
Uber,255,265,23.2,755.0,2320.0,122.0,2442.0,night,1672531200,155.13,76.96,78.17,113.45,3.32
Uber,163,132,16.74,254.0,5430.0,65.0,5495.0,afternoon,1680220800,96.4,73.04,23.36,47.85,4.36
Uber,90,148,2.56,182.0,1838.0,45.0,1883.0,evening,1680220800,31.82,23.09,8.73,44.14,9.02
Uber,254,51,2.09,357.0,613.0,17.0,630.0,night,1680220800,12.6,8.66,3.94,49.49,4.14
Uber,81,259,1.82,414.0,531.0,57.0,588.0,evening,1680220800,14.58,7.38,7.2,45.18,4.05
Uber,145,112,2.47,540.0,637.0,14.0,651.0,evening,1680220800,24.8,11.56,13.24,63.93,4.68
Uber,256,40,4.13,191.0,1386.0,59.0,1445.0,evening,1680220800,18.82,19.19,-0.37,47.81,4.65
Uber,138,237,10.0,142.0,1888.0,42.0,1930.0,afternoon,1680220800,88.71,57.43,43.11,107.12,5.74
Uber,89,133,0.85,85.0,334.0,0.0,334.0,evening,1680220800,8.68,7.41,1.27,79.87,8.72
Uber,81,198,14.86,1167.0,1752.0,36.0,1788.0,night,1672531200,58.84,46.27,20.42,93.16,3.11
Uber,74,36,10.58,332.0,1166.0,0.0,1166.0,afternoon,1672531200,48.62,26.7,21.92,82.44,2.52
Uber,115,23,2.2,557.0,478.0,85.0,563.0,night,1672531200,11.58,22.46,-10.88,143.62,10.21
Uber,173,140,11.94,489.0,1334.0,15.0,1349.0,night,1672531200,42.17,26.93,15.24,71.87,2.26
Uber,102,36,1.34,482.0,471.0,103.0,574.0,night,1672531200,9.68,6.08,3.6,38.13,4.54
Uber,79,249,1.74,202.0,617.0,121.0,738.0,evening,1672531200,15.85,8.63,7.22,42.1,4.96
Uber,133,181,2.66,294.0,798.0,15.0,813.0,morning,1672617600,20.5,15.14,10.36,67.04,5.69
Uber,169,75,5.69,302.0,778.0,112.0,890.0,morning,1672617600,21.32,13.47,7.85,54.49,2.37
Uber,148,48,3.62,279.0,949.0,23.0,972.0,night,1672617600,21.03,12.7,8.33,47.04,3.51
Uber,69,42,2.04,276.0,645.0,120.0,765.0,morning,1672617600,13.18,8.41,4.77,39.58,4.12
Uber,90,137,1.44,329.0,472.0,50.0,522.0,morning,1672531200,11.71,5.96,5.75,41.1,4.14
Uber,19,101,2.94,361.0,563.0,0.0,563.0,morning,1672531200,10.62,11.89,-1.27,76.03,4.04
Uber,160,100,6.16,376.0,1423.0,84.0,1507.0,afternoon,1672531200,34.05,22.34,11.71,53.37,3.63
Uber,91,124,10.68,358.0,1547.0,120.0,1667.0,morning,1672531200,41.86,26.06,15.8,56.28,2.44
Uber,215,130,1.21,223.0,408.0,69.0,477.0,morning,1672617600,8.73,5.39,3.34,40.68,4.45
Uber,223,265,22.64,371.0,2849.0,29.0,2878.0,night,1672531200,92.75,59.4,33.35,74.3,2.62
Uber,132,78,19.09,368.0,1619.0,120.0,1739.0,morning,1672531200,90.66,43.32,47.34,89.68,2.27
Uber,138,263,7.91,291.0,852.0,0.0,852.0,night,1672704000,62.19,27.96,39.23,118.14,3.53
Uber,132,265,45.61,258.0,4769.0,63.0,4832.0,morning,1672704000,165.36,102.53,62.83,76.39,2.25
Uber,143,265,13.98,185.0,2756.0,88.0,2844.0,afternoon,1672617600,98.66,63.96,34.7,80.96,4.58
Uber,230,144,3.42,131.0,1147.0,120.0,1267.0,night,1672617600,23.53,15.35,8.18,43.61,4.49
Uber,113,261,1.65,182.0,590.0,50.0,640.0,evening,1672617600,24.31,14.81,9.5,83.31,8.98
Uber,188,34,5.01,340.0,1737.0,18.0,1755.0,morning,1672704000,32.54,26.69,11.39,54.75,5.33
Uber,69,42,1.76,262.0,521.0,120.0,641.0,afternoon,1672617600,10.89,6.64,4.25,37.29,3.77
Uber,113,137,1.62,97.0,746.0,5.0,751.0,morning,1672704000,14.61,8.47,6.14,40.6,5.23
Uber,250,212,4.7,316.0,923.0,44.0,967.0,afternoon,1672617600,19.74,13.6,6.14,50.63,2.89
Uber,237,229,1.36,98.0,564.0,21.0,585.0,evening,1672617600,13.6,8.56,5.04,52.68,6.29
Uber,215,74,13.73,311.0,1342.0,85.0,1427.0,night,1672617600,42.74,27.79,14.95,70.11,2.02
